Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
11,1.5,Unadkat,Warner,2,False,0,"length ball on fifth stump, short arm jab pull dragged through wide midwicket for two.",3,18,1,5,10,1.8333333333333333,1,5,1.5,True,9.818181818181818,20,194,176,18.166666666666668,9.688073394495412,0,10
12,1.6,Unadkat,Warner,4,False,0,"back of a length on the hips, flicked to deep fine leg and beats the diving fielder to the rope.",3,22,1,6,11,2.0,1,6,1.6,True,11.0,20,194,172,18.0,9.555555555555555,0,10
61,10.1,Gowtham,Rossouw,0,False,1,"length ball on fifth stump, cracks this flat to cover on the ring for none.",3,22,10,1,12,2.1666666666666665,2,1,2.1,True,10.153846153846155,20,194,172,17.833333333333332,9.644859813084112,0,10
62,10.2,Gowtham,Rossouw,2,False,0,"another jackknife!Good length ball on leg stump, Warner goes to pull and then has to adjust late to toe slap drag this to long-on for one. Identical ball to the one that dismissed Mayers but Warner is able to keep this out.",3,24,10,2,13,2.3333333333333335,2,2,2.2,True,10.285714285714285,20,194,170,17.666666666666668,9.622641509433961,0,10
63,10.3,Gowtham,Rossouw,0,False,1,"good length ball on off, punched to extra cover for none.",3,24,10,3,14,2.5,2,3,2.3,True,9.6,20,194,170,17.5,9.714285714285714,0,10
64,10.4,Gowtham,Rossouw,1,False,0,"length ball on fourth stump, Rossouw shaped to reverse then goes back orthodox and slaps this back to the bowler.",3,25,10,4,15,2.6666666666666665,2,4,2.4,True,9.375,20,194,169,17.333333333333332,9.75,0,10
65,10.5,Gowtham,Warner,1,False,0,"full on the legs, goes back to flick through long-on for one.",3,26,10,5,16,2.8333333333333335,2,5,2.5,True,9.176470588235293,20,194,168,17.166666666666668,9.78640776699029,0,10
66,10.6,Gowtham,Rossouw,1,False,0,"knee high full toss on the legs, miscues a heave to deep backward square leg trickling along the ground for one.",3,27,10,6,17,3.0,2,6,2.6,True,9.0,20,194,167,17.0,9.823529411764707,0,10
67,11.1,Ravi Bishnoi,Rossouw,4,False,0,"length ball on middle, pulled to deep midwicket, one-handed diving effort by the fielder out there but he's only able to parry it wider to the rope.",3,31,11,1,18,3.1666666666666665,3,1,3.1,True,9.789473684210527,20,194,163,16.833333333333332,9.683168316831685,0,10
68,11.2,Ravi Bishnoi,Rossouw,0,False,1,charges a low full toss and swings over this deflecting off his shins to short third for none.,3,31,11,2,19,3.3333333333333335,3,2,3.2,True,9.299999999999999,20,194,163,16.666666666666668,9.78,0,10
69,11.3,Ravi Bishnoi,Rossouw,1,False,0,"short on leg stump, pulls this flat to long-on for one.",3,32,11,3,20,3.5,3,3,3.3,True,9.142857142857142,20,194,162,16.5,9.818181818181818,0,10
70,11.4,Ravi Bishnoi,Warner,0,False,1,"googly lands on a good length on middle, swishes across this and is beaten.",3,32,11,4,21,3.6666666666666665,3,4,3.4,True,8.727272727272728,20,194,162,16.333333333333332,9.918367346938776,0,10
71,11.5,Ravi Bishnoi,Warner,1,False,0,"good length ball on fourth stump, goes back to punch to the cover sweeper for one.",3,33,11,5,22,3.8333333333333335,3,5,3.5,True,8.608695652173912,20,194,161,16.166666666666668,9.958762886597938,0,10
72,11.6,Ravi Bishnoi,Rossouw,0,True,1,"full on leg stump, shuffles well across the stumps and goes to sweep and misses off the pads/shoes, huge lbw shout denied and the ball pops up off a deflection of some kind behind the wicket for a catch claimed by the short fine leg fielder. Looked pretty stone dead live.LSG have gone for a review. Rossouw has started marching off without even waiting for the replays.Nothing on bat or glove on the initial shot but the ball has popped up off the bat of the bat on the follow through in bizarre fashion and a catch was taken by the fielder coming over from short fine leg. We're not even going to get to the ball-tracking for lbw because he's been given out caught.",3,33,11,6,23,4.0,3,6,3.6,True,8.25,20,194,161,16.0,10.0625,1,9
